centreline_id,direction,location,class_type,daily_temperature,daily_precipitation,datetime_bin_start,datetime_bin_end,volume
112374,Northbound,PHARMACY AVE NB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 4:00,6/18/2011 5:00,0
112374,Northbound,PHARMACY AVE NB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 3:00,6/18/2011 4:00,0
112374,Northbound,PHARMACY AVE NB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 2:00,6/18/2011 3:00,0
112374,Northbound,PHARMACY AVE NB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 1:00,6/18/2011 2:00,0
112374,Northbound,PHARMACY AVE NB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 0:00,6/18/2011 1:00,1
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 23:00,6/19/2011 0:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 22:00,6/18/2011 23:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 21:00,6/18/2011 22:00,1
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 20:00,6/18/2011 21:00,2
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 19:00,6/18/2011 20:00,3
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 18:00,6/18/2011 19:00,0
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 17:00,6/18/2011 18:00,3
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 16:00,6/18/2011 17:00,6
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 15:00,6/18/2011 16:00,5
112374,Southbound,PHARMACY AVE SB S OF ST CLAIR AVE E,Cyclists,27,0,6/18/2011 14:00,6/18/2011 15:00,6
